100-51-6|Benzyl alcohol |bird - wild|LD50|oral|100mg/kg (100mg/kg)| |Toxicology and Applied Pharmacology.  Vol. 21, Pg. 315, 1972.
64-17-5|Alcohol |frog|LDLo|subcutaneous|7100mg/kg (7100mg/kg)| |"Handbook of Toxicology," 4 vols., Philadelphia, W.B. Saunders Co., 1956-59Vol. 1, Pg. 128, 1955.
64-17-5|Alcohol |guinea pig|LCLo|inhalation|21900ppm (21900ppm)| |FAO Nutrition Meetings Report Series.  Vol. 48A, Pg. 99, 1970.
64-17-5|Alcohol |guinea pig|LD50|intraperitoneal|3414mg/kg (3414mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
64-17-5|Alcohol |guinea pig|LD50|oral|5560mg/kg (5560mg/kg)| |Journal of Industrial Hygiene and Toxicology.  Vol. 23, Pg. 259, 1941.
64-17-5|Alcohol |hamster|LD50|intraperitoneal|5068mg/kg (5068mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
64-17-5|Alcohol |human|LDLo|oral|1400mg/kg (1400mg/kg)|BEHAVIORAL: SLEEPBEHAVIORAL: HEADACHEGASTROINTESTINAL: NAUSEA OR VOMITING|Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 44, 1974.
64-17-5|Alcohol |infant|LDLo|subcutaneous|19440mg/kg (19440mg/kg)|BEHAVIORAL: COMABEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD|American Journal of Clinical Pathology.  Vol. 5, Pg. 466, 1935.
64-17-5|Alcohol |infant|TDLo|oral|11712uL/kg (11.712mL/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEACARDIAC: ARRHYTHMIAS (INCLUDING CHANGES IN CONDUCTION)BEHAVIORAL: GENERAL ANESTHETIC|Journal of UOEH Vol. 9, Pg. 53, 1987.
64-17-5|Alcohol |mammal (species unspecified)|LD50|intraperitoneal|4300mg/kg (4300mg/kg)|BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY)|Toxicology and Applied Pharmacology.  Vol. 13, Pg. 358, 1968.
64-17-5|Alcohol |man|TDLo|oral|1430ug/kg (1.43mg/kg)|BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY)BEHAVIORAL: ANTIPSYCHOTICBEHAVIORAL: ATAXIA|Journal of Pharmacology and Experimental Therapeutics.  Vol. 197, Pg. 488, 1976.
64-17-5|Alcohol |man|TDLo|oral|3371uL/kg (3.371mL/kg)|BEHAVIORAL: EXCITEMENTBEHAVIORAL: COMABEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)|Veterinary and Human Toxicology.  Vol. 21, Pg. 272, 1979.
64-17-5|Alcohol |man|TDLo|oral|50mg/kg (50mg/kg)|GASTROINTESTINAL: ALTERATION IN GASTRIC SECRETIONGASTROINTESTINAL: OTHER CHANGES|Journal of Pharmacology and Experimental Therapeutics.  Vol. 56, Pg. 117, 1936.
64-17-5|Alcohol |man|TDLo|oral|700mg/kg (700mg/kg)|BEHAVIORAL: CHANGES IN PSYCHOPHYSIOLOGICAL TESTS|Neurobehavioral Toxicology and Teratology.  Vol. 8, Pg. 77, 1986.
64-17-5|Alcohol |man|TDLo|oral|22500mg/kg/4W (22500mg/kg)|ENDOCRINE: OTHER CHANGESBLOOD: OTHER CHANGES|Clinical Endocrinology Vol. 25, Pg. 143, 1986.
64-17-5|Alcohol |mouse|LC50|inhalation|39gm/m3/4H (39000mg/m3)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 26(8), Pg. 53, 1982.
64-17-5|Alcohol |mouse|LD50|intraperitoneal|528mg/kg (528mg/kg)| |Strahlentherapie.  Vol. 127, Pg. 245, 1965.
64-17-5|Alcohol |mouse|LD50|intravenous|1973mg/kg (1973mg/kg)| |"Handbook of Toxicology," 4 vols., Philadelphia, W.B. Saunders Co., 1956-59Vol. 1, Pg. 128, 1955.
64-17-5|Alcohol |mouse|LD50|oral|3450mg/kg (3450mg/kg)| |Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 32(3), Pg. 31, 1967.
64-17-5|Alcohol |mouse|LD50|subcutaneous|8285mg/kg (8285mg/kg)| |FAO Nutrition Meetings Report Series.  Vol. 48A, Pg. 99, 1970.
64-17-5|Alcohol |pigeon|LDLo|subcutaneous|5gm/kg (5000mg/kg)| |"Ueber die Wirkung Verschiedener Gifte Auf Vogel, Dissertation," Forchheimer, L., Pharmakologischen Institut der Universitat Wurzburg, Fed. Rep. Ger., 1931Vol. -, Pg. -, 1931.
64-17-5|Alcohol |rabbit|LD50|intraperitoneal|963mg/kg (963mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
64-17-5|Alcohol |rabbit|LD50|intravenous|2374mg/kg (2374mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
64-17-5|Alcohol |rabbit|LD50|oral|6300mg/kg (6300mg/kg)| |"Handbook of Toxicology," 4 vols., Philadelphia, W.B. Saunders Co., 1956-59Vol. 1, Pg. 130, 1955.
64-17-5|Alcohol |rabbit|LDLo|skin|20gm/kg (20000mg/kg)| |"Alcohols:  Their Chemistry, Properties and Manufacture," Monick, J.A., New York, Reinhold Book, 1968Vol. -, Pg. 72, 1968.
64-17-5|Alcohol |rabbit|LDLo|subcutaneous|20gm/kg (20000mg/kg)| |Gekkan Yakuji.  Pharmaceuticals Monthly.  Vol. 22, Pg. 651, 1980.
64-17-5|Alcohol |rat|LC50|inhalation|20000ppm/10H (20000ppm)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 44, 1974.
64-17-5|Alcohol |rat|LD50|intraarterial|11mg/kg (11mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEALUNGS, THORAX, OR RESPIRATION: CHRONIC PULMONARY EDEMA|Toxicology and Applied Pharmacology.  Vol. 18, Pg. 60, 1971.
64-17-5|Alcohol |rat|LD50|intraperitoneal|3600ug/kg (3.6mg/kg)| |Pharmacology: International Journal of Experimental and Clinical Pharmacology.  Vol. 2, Pg. 27, 1969.
64-17-5|Alcohol |rat|LD50|intravenous|1440mg/kg (1440mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEA|Toxicology and Applied Pharmacology.  Vol. 18, Pg. 60, 1971.
64-17-5|Alcohol |rat|LD50|oral|7060mg/kg (7060mg/kg)|LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES|Toxicology and Applied Pharmacology.  Vol. 16, Pg. 718, 1970.
64-17-5|Alcohol |women|TDLo|oral|1200mg/kg/3H (1200mg/kg)|BLOOD: OTHER CHANGESENDOCRINE: OTHER CHANGESENDOCRINE: CHANGE IN GONADOTROPINS|Alcoholism:  Clinical and Experimental Research.  Vol. 7, Pg. 289, 1983.
64-17-5|Alcohol |women|TDLo|oral|256gm/kg/12W (256000mg/kg)|BEHAVIORAL: "HALLUCINATIONS, DISTORTED PERCEPTIONS"ENDOCRINE: EFFECT ON MENSTRUAL CYSLE|JAMA, Journal of the American Medical Association.  Vol. 238, Pg. 2143, 1977.
6419-19-8|Aminotrimethylene phosphonic acid|duck|LD50|oral|> 2510mg/kg (2510mg/kg)| |United States Environmental Protection Agency, Office of Pesticides and Toxic Substances. Vol. 8EHQ-0990-0937, 
6419-19-8|Aminotrimethylene phosphonic acid|quail|LD50|oral|> 2510mg/kg (2510mg/kg)| |United States Environmental Protection Agency, Office of Pesticides and Toxic Substances. Vol. 8EHQ-0990-0937, 
6419-19-8|Aminotrimethylene phosphonic acid|rabbit|LD50|skin|> 6310mg/kg (6310mg/kg)| |United States Environmental Protection Agency, Office of Pesticides and Toxic Substances. Vol. 8EHQ-0990-0937, 
6419-19-8|Aminotrimethylene phosphonic acid|rat|LD50|oral|2100mg/kg (2100mg/kg)| |Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 49(2), Pg. 67, 1984.
64-19-7|Acetic acid|child|TDLo|rectal|281uL/kg (0.281mL/kg)|LIVER: LIVER FUNCTION TESTS IMPAIREDGASTROINTESTINAL: ALTERATION IN GASTRIC SECRETIONKIDNEY, URETER, AND BLADDER: "CHANGES IN TUBULES (INCLUDING ACUTE RENAL FAILURE, ACUTE TUBULAR NECROSIS)"|Journal of Toxicology, Clinical Toxicology.  Vol. 82, Pg. 333, 1994.
64-19-7|Acetic acid|human|TCLo|inhalation|816ppm/3M (816ppm)|SENSE ORGANS AND SPECIAL SENSES: OTHER CHANGES: OLFACTIONSENSE ORGANS AND SPECIAL SENSES: OTHER: EYELUNGS, THORAX, OR RESPIRATION: OTHER CHANGES|AMA Archives of Industrial Health.  Vol. 21, Pg. 28, 1960.
64-19-7|Acetic acid|human|TDLo|oral|1470ug/kg (1.47mg/kg)|GASTROINTESTINAL: ULCERATION OR BLEEDING FROM SMALL INTESTINEGASTROINTESTINAL: CHANGE IN STRUCTURE OR FUNCTION OF ESOPHAGUSGASTROINTESTINAL: ULCERATION OR BLEEDING FROM LARGE INTESTINE|American Industrial Hygiene Association Journal.  Vol. 33, Pg. 624, 1972.
64-19-7|Acetic acid|man|LDLo|unreported|308mg/kg (308mg/kg)| |"Poisoning; Toxicology, Symptoms, Treatments," 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970Vol. 2, Pg. 73, 1970.
64-19-7|Acetic acid|mouse|LC50|inhalation|5620ppm/1H (5620ppm)|BLOOD: OTHER CHANGESSENSE ORGANS AND SPECIAL SENSES: OTHER: EYESENSE ORGANS AND SPECIAL SENSES: CONJUNCTIVE IRRITATION: EYE|Medicina del Lavoro.  Industrial Medicine.  Vol. 48, Pg. 559, 1957.
64-19-7|Acetic acid|mouse|LD50|intravenous|525mg/kg (525mg/kg)|BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD|Acta Pharmacologica et Toxicologica.  Vol. 18, Pg. 141, 1961.
64-19-7|Acetic acid|rabbit|LD50|skin|1060uL/kg (1.06mL/kg)| |Union Carbide Data Sheet.  Vol. 8/7/1963, 
64-19-7|Acetic acid|rabbit|LDLo|oral|600mg/kg (600mg/kg)| |Comptes Rendus des Seances de la Societe de Biologie et de Ses Filiales.  Vol. 83, Pg. 136, 1920.
64-19-7|Acetic acid|rabbit|LDLo|rectal|600mg/kg (600mg/kg)| |Comptes Rendus des Seances de la Societe de Biologie et de Ses Filiales.  Vol. 83, Pg. 136, 1920.
64-19-7|Acetic acid|rabbit|LDLo|subcutaneous|600mg/kg (600mg/kg)| |Comptes Rendus des Seances de la Societe de Biologie et de Ses Filiales.  Vol. 83, Pg. 136, 1920.
64-19-7|Acetic acid|rat|LCLo|inhalation|16000ppm/4H (16000ppm)| |American Industrial Hygiene Association Quarterly.  Vol. 17, Pg. 129, 1956.
64-19-7|Acetic acid|rat|LD50|oral|3310mg/kg (3310mg/kg)| |Delaware State Medical Journal.  Vol. 31, Pg. 276, 1959.
6440-58-0|1|mouse|LDLo|intraperitoneal|1320mg/kg (1320mg/kg)| |Agricultural and Biological Chemistry.  Vol. 40, Pg. 1705, 1976.
6440-58-0|1|mouse|LDLo|oral|3gm/kg (3000mg/kg)| |Agricultural and Biological Chemistry.  Vol. 40, Pg. 1705, 1976.
6440-58-0|1|rat|LD50|oral|2gm/kg (2000mg/kg)|LIVER: OTHER CHANGESGASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACHKIDNEY, URETER, AND BLADDER: OTHER CHANGES |Journal of the American College of Toxicology.  Vol. 7(3), Pg. 245, 1988.
64742-95-6|Aromatic naphtha|quail|LD50|oral|> 2150mg/kg (2150mg/kg)|BEHAVIORAL: FOOD INTAKE (ANIMAL)|National Technical Information Service.  Vol. OTS0529435, 
64742-95-6|Aromatic naphtha|rat|LD50|oral|8400mg/kg (8400mg/kg)|BEHAVIORAL: TREMORBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES|National Technical Information Service.  Vol. OTS0534799, 
9002-88-4|Polyethylene|mouse|LC50|inhalation|12gm/m3/30M (12000mg/m3)| |Proceedings of the Western Pharmacology Society.  Vol. 21, Pg. 167, 1978.
9002-88-4|Polyethylene|mouse|LDLo|oral|5gm/kg (5000mg/kg)| |Toksikologiya Novykh Promyshlennykh Khimicheskikh Veshchestv.  Toxicology of New Industrial Chemical Substances.  For English translation, see TNICS*.  Vol. 5, Pg. 136, 1963.
9002-88-4|Polyethylene|rat|LD|oral|> 3gm/kg (3000mg/kg)|KIDNEY, URETER, AND BLADDER: OTHER CHANGES |Kiso to Rinsho.  Clinical Report.  Vol. 16, Pg. 175, 1982.
9004-32-4|Carboxymethylcellulose sodium |guinea pig|LD50|oral|16000mg/kg (16000mg/kg)| |Food Research.  Vol. 13, Pg. 29, 1948.
9004-32-4|Carboxymethylcellulose sodium |mouse|LD50|oral|> 27gm/kg (27000mg/kg)| |Proceedings of the European Society of Toxicology.  Vol. 17, Pg. 351, 1976.
9004-32-4|Carboxymethylcellulose sodium |rabbit|LD50|oral|> 27gm/kg (27000mg/kg)| |Proceedings of the European Society of Toxicology.  Vol. 17, Pg. 351, 1976.
9004-32-4|Carboxymethylcellulose sodium |rabbit|LD50|skin|> 2gm/kg (2000mg/kg)| |Toxicology Letters.  Vol. (Suppl), Pg. 243, 1992.
9004-32-4|Carboxymethylcellulose sodium |rat|LC50|inhalation|> 5800mg/m3/4H (5800mg/m3)| |Toxicology Letters.  Vol. (Suppl), Pg. 243, 1992.
9004-32-4|Carboxymethylcellulose sodium |rat|LD50|oral|27000mg/kg (27000mg/kg)| |Food Research.  Vol. 13, Pg. 29, 1948.
9004-62-0|Hydroxyethyl cellulose |women|LDLo|intravenous|5100mg/kg/6D- (5100mg/kg)|BRAIN AND COVERINGS: INCREASED INTRACRANIAL PRESSUREVASCULAR: CHANGE IN PLASMA OR BLOOD VALUMEBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|New England Journal of Medicine.  Vol. 317, Pg. 964, 1987.
9004-64-2|Hyprolose |mouse|LD50|intraperitoneal|> 25gm/kg (25000mg/kg)| |Oyo Yakuri.  Pharmacometrics.  Vol. 4, Pg. 1013, 1970.
9004-64-2|Hyprolose |mouse|LD50|intravenous|> 500mg/kg (500mg/kg)| |Oyo Yakuri.  Pharmacometrics.  Vol. 4, Pg. 1013, 1970.
9004-64-2|Hyprolose |mouse|LD50|oral|> 5gm/kg (5000mg/kg)| |Oyo Yakuri.  Pharmacometrics.  Vol. 4, Pg. 1013, 1970.
9004-64-2|Hyprolose |rat|LD50|intraperitoneal|> 25gm/kg (25000mg/kg)| |Oyo Yakuri.  Pharmacometrics.  Vol. 4, Pg. 1013, 1970.
9004-64-2|Hyprolose |rat|LD50|intravenous|250mg/kg (250mg/kg)| |Oyo Yakuri.  Pharmacometrics.  Vol. 4, Pg. 1013, 1970.
9004-64-2|Hyprolose |rat|LD50|oral|10200mg/kg (10200mg/kg)| |FAO Nutrition Meetings Report Series.  Vol. 46A, Pg. 131, 1969.
9005-64-5|Polysorbate 20 |hamster|LD50|oral|18mL/kg (18mL/kg)| |Food Research.  Vol. 21, Pg. 348, 1956.
9005-64-5|Polysorbate 20 |mouse|LD50|intraperitoneal|2640mg/kg (2640mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 26, Pg. 1581, 1976.
9005-64-5|Polysorbate 20 |mouse|LD50|intravenous|1420mg/kg (1420mg/kg)| |Research Progress in Organic-Biological and Medicinal Chemistry.  Vol. 2, Pg. 316, 1970.
9005-64-5|Polysorbate 20 |mouse|LD50|oral|> 33gm/kg (33000mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 26, Pg. 1581, 1976.
9005-64-5|Polysorbate 20 |rat|LD50|intraperitoneal|3850mg/kg (3850mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 26, Pg. 1581, 1976.
9005-64-5|Polysorbate 20 |rat|LD50|intravenous|770mg/kg (770mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 26, Pg. 1581, 1976.
9005-64-5|Polysorbate 20 |rat|LD50|oral|36700uL/kg (36.7mL/kg)| |Food Research.  Vol. 21, Pg. 348, 1956.
9005-65-6|Polysorbate 80 |cat|LDLo|intravenous|500mg/kg (500mg/kg)|CARDIAC: OTHER CHANGESBEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)|Arzneimittel-Forschung. Drug Research.  Vol. 28, Pg. 1586, 1978.
9005-65-6|Polysorbate 80 |dog|LDLo|intravenous|500mg/kg (500mg/kg)|CARDIAC: OTHER CHANGESBEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)|Arzneimittel-Forschung. Drug Research.  Vol. 28, Pg. 1586, 1978.
9005-65-6|Polysorbate 80 |mammal (species unspecified)|LD50|intravenous|5800mg/kg (5800mg/kg)| |Zhongguo Yaoxue Zazhi. Chinese Pharmacuetical Journal. Vol. 26, Pg. 459, 1991.
9005-65-6|Polysorbate 80 |mammal (species unspecified)|LD50|oral|25gm/kg (25000mg/kg)| |Zhongguo Yaoxue Zazhi. Chinese Pharmacuetical Journal. Vol. 26, Pg. 459, 1991.
9005-65-6|Polysorbate 80 |mouse|LD50|intraperitoneal|7600mg/kg (7600mg/kg)| |Pharmacology and Therapeutics.  Vol. 5, Pg. 467, 1979.
9005-65-6|Polysorbate 80 |mouse|LD50|intravenous|4500mg/kg (4500mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 18, Pg. 666, 1968.
9005-65-6|Polysorbate 80 |mouse|LD50|oral|25gm/kg (25000mg/kg)| |Bollettino Chimico Farmaceutico.  Vol. 101, Pg. 173, 1962.
9005-65-6|Polysorbate 80 |rat|LD50|intraperitoneal|6804mg/kg (6804mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 35, Pg. 804, 1985.
9005-65-6|Polysorbate 80 |rat|LD50|intravenous|1790mg/kg (1790mg/kg)| |FAO Nutrition Meetings Report Series.  Vol. 53A, Pg. 254, 1974.
9005-65-6|Polysorbate 80 |rat|LD50|oral|34500uL/kg (34.5mL/kg)| |Food Research.  Vol. 21, Pg. 348, 1956.
9014-01-1|Subtilisins|rat|LD50|oral|3700mg/kg (3700mg/kg)| |Food and Cosmetics Toxicology.  Vol. 7, Pg. 581, 1969.
9016-45-9|Polyethylene glycol nonylphenyl ether|mouse|LD50|oral|> 50gm/kg (50000mg/kg)| |Eisei Shikenjo Hokoku.  Bulletin of the Institute of Hygienic Sciences.  Vol. (103), Pg. 37, 1985.
9016-45-9|Polyethylene glycol nonylphenyl ether|rabbit|LD50|skin|1780uL/kg (1.78mL/kg)| |Union Carbide Data Sheet.  Vol. 7/14/1965, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rabbit|LD50|skin|2mL/kg (2mL/kg)| |Union Carbide Data Sheet.  Vol. 6/16/1965, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rabbit|LD50|skin|2520uL/kg (2.52mL/kg)| |Union Carbide Data Sheet.  Vol. 4/25/1958, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rabbit|LD50|skin|2830uL/kg (2.83mL/kg)| |Union Carbide Data Sheet.  Vol. 4/11/1963, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rabbit|LD50|skin|3970uL/kg (3.97mL/kg)| |Union Carbide Data Sheet.  Vol. 12/17/1962, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rabbit|LD50|skin|4490uL/kg (4.49mL/kg)| |Union Carbide Data Sheet.  Vol. 11/8/1971, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LC|inhalation|> 21mg/m3/8H (21mg/m3)| |Union Carbide Data Sheet.  Vol. 4/25/1958, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LC|inhalation|> 28mg/m3/8H (28mg/m3)| |Union Carbide Data Sheet.  Vol. 11/8/1971, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LCLo|inhalation|29mg/m3/8H (29mg/m3)| |Union Carbide Data Sheet.  Vol. 9/22/1964, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|2590uL/kg (2.59mL/kg)| |Union Carbide Data Sheet.  Vol. 4/11/1963, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|3670uL/kg (3.67mL/kg)| |Union Carbide Data Sheet.  Vol. 7/14/1965, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|3730uL/kg (3.73mL/kg)| |Union Carbide Data Sheet.  Vol. 12/17/1962, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|4290uL/kg (4.29mL/kg)| |Union Carbide Data Sheet.  Vol. 4/25/1958, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|1310mg/kg (1310mg/kg)| |Union Carbide Data Sheet.  Vol. 6/16/1965, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|> 3gm/kg (3000mg/kg)| |National Technical Information Service.  Vol. OTS0573581, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|4gm/kg (4000mg/kg)| |Farm Chemicals Handbook.  Vol. -, Pg. C10, 1991.
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|4gm/kg (4000mg/kg)| |Union Carbide Data Sheet.  Vol. 9/22/1964, 
9016-45-9|Polyethylene glycol nonylphenyl ether|rat|LD50|oral|16gm/kg (16000mg/kg)| |Union Carbide Data Sheet.  Vol. 11/8/1971, 
90622-57-4|Alkanes|rabbit|LD50|skin|> 3200mg/kg (3200mg/kg)| |JAT, Journal of Applied Toxicology.  Vol. 10, Pg. 135, 1990.
90622-57-4|Alkanes|rat|LC50|inhalation|> 12200mg/m3/4 (12200mg/m3)| |JAT, Journal of Applied Toxicology.  Vol. 10, Pg. 135, 1990.
90622-57-4|Alkanes|rat|LD50|oral|> 10gm/kg (10000mg/kg)| |JAT, Journal of Applied Toxicology.  Vol. 10, Pg. 135, 1990.
915-67-3|Amaranth Dye|mouse|LD50|intraperitoneal|1gm/kg (1000mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Food and Cosmetics Toxicology.  Vol. 14, Pg. 163, 1976.
915-67-3|Amaranth Dye|rat|LD50|intraperitoneal|1gm/kg (1000mg/kg)| |Scientia Pharmaceutica.  Vol. 47, Pg. 39, 1979.
915-67-3|Amaranth Dye|rat|LD50|intravenous|1gm/kg (1000mg/kg)| |Scientia Pharmaceutica.  Vol. 47, Pg. 39, 1979.
93763-70-3|Perlite|mouse|LD50|oral|12960mg/kg (12960mg/kg)| |Journal of Toxicological Sciences.  Vol. 10, Pg. 83, 1985.
98-55-5|alpha-Terpineol|mouse|LD50|intramuscular|2gm/kg (2000mg/kg)| |Journal of Scientific and Industrial Research, Section C: Biological Sciences.  Vol. 21, Pg. 342, 1962.
98-55-5|alpha-Terpineol|mouse|LD50|oral|2830mg/kg (2830mg/kg)| |Chemical and Pharmaceutical Bulletin.  Vol. 33, Pg. 1669, 1985.
98-55-5|alpha-Terpineol|rat|LD50|oral|5170mg/kg (5170mg/kg)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 31(2), Pg. 29, 1987.
124-68-5|2-Amino-2-methylpropanol|mouse|LD50|oral|2150mg/kg (2150mg/kg)| |Journal of the American College of Toxicology.  Vol. 9(2), Pg. 203, 1990.
124-68-5|2-Amino-2-methylpropanol|rabbit|LDLo|oral|1gm/kg (1000mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)LUNGS, THORAX, OR RESPIRATION: RESPIRATORY STIMULATIONBEHAVIORAL: COMA|Journal of Industrial Hygiene and Toxicology.  Vol. 22, Pg. 315, 1940.
124-68-5|2-Amino-2-methylpropanol|rat|LD50|oral|2900mg/kg (2900mg/kg)| |Journal of the American College of Toxicology.  Vol. 9(2), Pg. 203, 1990.
125-12-2|Pichtosin|mouse|LD50|oral|3100mg/kg (3100mg/kg)|LIVER: OTHER CHANGESBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BLOOD: HEMORRHAGE|Toksikologicheskii Vestnik.  Vol. (3), Pg. 34, 2000.
125-12-2|Pichtosin|rat|LD50|oral|9050mg/kg (9050mg/kg)|LIVER: OTHER CHANGESBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BLOOD: HEMORRHAGE|Toksikologicheskii Vestnik.  Vol. (3), Pg. 34, 2000.
1310-58-3|Potassium hydroxide |rat|LD50|oral|273mg/kg (273mg/kg)| |Fundamental and Applied Toxicology.  Vol. 8, Pg. 97, 1987.
1310-73-2|Sodium hydroxide |mouse|LD50|intraperitoneal|40mg/kg (40mg/kg)| |Comptes Rendus Hebdomadaires des Seances, Academie des Sciences.  Vol. 257, Pg. 791, 1963.
1310-73-2|Sodium hydroxide |rabbit|LDLo|oral|500mg/kg (500mg/kg)| |Naunyn-Schmiedeberg's Archiv fuer Experimentelle Pathologie und Pharmakologie.  Vol. 184, Pg. 587, 1937.
14808-60-7|Quartz|dog|LDLo|intravenous|20mg/kg (20mg/kg)| |Biochemical Journal.  Vol. 27, Pg. 1007, 1933.
14808-60-7|Quartz|human|LCLo|inhalation|300ug/m3/10Y- (0.3mg/m3)|LIVER: OTHER CHANGES|Annals of the New York Academy of Sciences.  Vol. 271, Pg. 324, 1976.
14808-60-7|Quartz|human|TCLo|inhalation|16mppcf/8H/17 (16mppcf)|LUNGS, THORAX, OR RESPIRATION: COUGHLUNGS, THORAX, OR RESPIRATION: DYSPNEALUNGS, THORAX, OR RESPIRATION: "FIBROSIS, FOCAL (PNEUMOCONIOSIS)"|National Technical Information Service.  Vol. PB246-697, 
14808-60-7|Quartz|mouse|LD|intratracheal|> 20mg/kg (20mg/kg)| |American Review of Respiratory Disease.  Vol. 141(Suppl), Pg. A3-A937, 1990.
14808-60-7|Quartz|mouse|LD|intratracheal|> 20mg/kg (20mg/kg)|LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES|American Review of Respiratory Disease.  Vol. 141(Suppl), Pg. A3-A937, 1990.
14808-60-7|Quartz|mouse|LDLo|intravenous|40mg/kg (40mg/kg)| |Journal of the National Cancer Institute.  Vol. 1, Pg. 241, 1940.
14808-60-7|Quartz|rat|LDLo|intratracheal|200mg/kg (200mg/kg)|LUNGS, THORAX, OR RESPIRATION: "FIBROSIS, FOCAL (PNEUMOCONIOSIS)"|British Journal of Industrial Medicine.  Vol. 10, Pg. 9, 1953.
14808-60-7|Quartz|rat|LDLo|intravenous|90mg/kg (90mg/kg)| |Journal of the National Cancer Institute.  Vol. 57, Pg. 509, 1976.
1328-53-6|Phthalocyanine Green|rat|LD|oral|> 10gm/kg (10000mg/kg)| |Khigiena i Zdraveopazvane.  Hygiene and Sanitation.  Vol. 16, Pg. 191, 1973.
1330-38-7|CI 74180|rat|LD50|intraperitoneal|800mg/kg (800mg/kg)| |Current Toxicology.  Vol. 1, Pg. 243, 1993.
1330-38-7|CI 74180|rat|LD50|oral|> 5gm/kg (5000mg/kg)| |Current Toxicology.  Vol. 1, Pg. 243, 1993.
1336-21-6|Ammonium hydroxide|cat|LDLo|oral|750mg/kg (750mg/kg)| |"Abdernalden's Handbuch der Biologischen Arbeitsmethoden."  Vol. 4, Pg. 1289, 1935.
